,Name,Address,Geocodes
62,Olmsted Falls School Bus Grg,"26894 Schady Rd, Olmsted Township, OH 44138, USA","{'lat': 41.363611, 'lng': -81.92380399999999}"
63,First Student Inc,"3356 E Outer Rd, Scott City, MO 63780, USA","{'lat': 37.239002, 'lng': -89.56452499999999}"
64,First Student Inc,"1886 W Main St, Troy, OH 45373, USA","{'lat': 40.054765, 'lng': -84.239694}"
65,First Student Inc,"340 St Charles St A, Bay St Louis, MS 39520, USA","{'lat': 30.3053439, 'lng': -89.3502051}"
66,First Student Inc,"801 Runnels St, Big Spring, TX 79720, USA","{'lat': 32.2481663, 'lng': -101.4729812}"
67,First Student Inc,"Conser, Overland Park, KS 66204, USA","{'lat': 38.9914363, 'lng': -94.67353709999999}"
68,First Student Inc,"473 NJ-31, Hampton, NJ 08827, USA","{'lat': 40.718167, 'lng': -74.9710608}"
69,Laidlaw Education Svc,"161 Benson St, Fitchburg, MA 01420, USA","{'lat': 42.5608915, 'lng': -71.7755698}"
70,First Student Inc,"111 Brookfield Rd #123, Avon Lake, OH 44012, USA","{'lat': 41.5113525, 'lng': -82.0231522}"
71,First Student Inc,"160 Douglas Rd, Oswego, IL 60543, USA","{'lat': 41.7184997, 'lng': -88.3190314}"
72,First Student Inc,"123 W Main St, Cherryvale, KS 67335, USA","{'lat': 37.2686668, 'lng': -95.5527326}"
73,First Student Inc,"66 N Cambridge St, Malverne, NY 11565, USA","{'lat': 40.6709396, 'lng': -73.6646811}"
74,First Student Inc,"98 Columbus Ave, Central Islip, NY 11722, USA","{'lat': 40.7997763, 'lng': -73.2190548}"
75,First Student Inc,"1113 Aquidneck Ave, Middletown, RI 02842, USA","{'lat': 41.51950679999999, 'lng': -71.27957909999999}"
76,First Student Inc,"713 George Washington Hwy, Lincoln, RI 02865, USA","{'lat': 41.9356487, 'lng': -71.4375306}"
77,First Student Inc,"3624 Main Rd, Tiverton, RI 02878, USA","{'lat': 41.5788015, 'lng': -71.1904015}"
78,First Student Inc,"28480 CA-74 Ste C, Menifee, CA 92585, USA","{'lat': 33.7434536, 'lng': -117.1641764}"
79,First Student Inc,"51 Lowell Rd, Salem, NH 03079, USA","{'lat': 42.7647176, 'lng': -71.2427345}"
80,First Student Inc,"420 Hancock Rd, Demorest, GA 30535, USA","{'lat': 34.5565216, 'lng': -83.5710218}"
81,First Student Inc,"134 Fmrhs Road, Langdon, NH 03602, USA","{'lat': 43.158361, 'lng': -72.405137}"
82,First Student Inc,"121 Whitehouse Rd, Rochester, NH 03867, USA","{'lat': 43.2648143, 'lng': -70.9175734}"
83,First Student Inc,"34 Schuler St, Sanford, ME 04073, USA","{'lat': 43.425562, 'lng': -70.7683804}"
84,First Student Inc,"99 Front Ridge Rd, Orland, ME 04472, USA","{'lat': 44.5567035, 'lng': -68.70075589999999}"
85,First Student Inc,"23 Brown Crossing Rd, Catskill, NY 12414, USA","{'lat': 42.2371072, 'lng': -73.8646485}"
86,First Student Inc,"5677 S Street Rd, Auburn, NY 13021, USA","{'lat': 42.8946889, 'lng': -76.57189629999999}"
87,First Student Inc,"819 Davis Rd, League City, TX 77573, USA","{'lat': 29.5379372, 'lng': -95.0759429}"
88,First Student Inc,"909 Bailey Ave, Buffalo, NY 14206, USA","{'lat': 42.8788951, 'lng': -78.814328}"
89,First Student Inc,"803 Walden Ave Suite 3, Buffalo, NY 14211, USA","{'lat': 42.9054145, 'lng': -78.8073366}"
90,First Student Inc,"140 Shawnee Ave, Buffalo, NY 14215, USA","{'lat': 42.9348463, 'lng': -78.8253014}"
91,First Student Inc,"119 Botsford Pl, Buffalo, NY 14216, USA","{'lat': 42.9510975, 'lng': -78.87409149999999}"
92,First Student Inc,"2512 S Park Ave, Tucson, AZ 85713, USA","{'lat': 32.193022, 'lng': -110.956469}"
93,First Student Inc,"45 Anderson Rd, Sherman, CT 06784, USA","{'lat': 41.6366225, 'lng': -73.5153362}"
94,First Student Inc,"100 Gruner Rd, Buffalo, NY 14227, USA","{'lat': 42.8961173, 'lng': -78.7801073}"
95,First Student Inc,"121 Lincoln Ave, Orange, CA 92865, USA","{'lat': 33.835323, 'lng': -117.8519206}"
96,Suffolk Transportation Svc Inc,"10 Moffitt Blvd, Bay Shore, NY 11706, USA","{'lat': 40.73106380000001, 'lng': -73.23516029999999}"
97,First Student Inc,"3130 PA-100, Macungie, PA 18062, USA","{'lat': 40.5198583, 'lng': -75.5721547}"
98,Durham School Svc,"2940 Waterview Ave, Baltimore, MD 21230, USA","{'lat': 39.2571905, 'lng': -76.6315691}"
99,Durham School Svc,"4501 Fitch Ave, Nottingham, MD 21236, USA","{'lat': 39.3692422, 'lng': -76.5036445}"
100,First Student Inc,"13328 MS-18, Raymond, MS 39154, USA","{'lat': 32.2513981, 'lng': -90.4097548}"
101,First Student Inc,"203 S Locust St, Nampa, ID 83686, USA","{'lat': 43.5674311, 'lng': -116.5690632}"
102,First Student Inc,"1687 E Ohio Pike, Amelia, OH 45102, USA","{'lat': 39.0209947, 'lng': -84.2084807}"
103,First Student Inc,"650 South St, Philadelphia, PA 19147, USA","{'lat': 39.942073, 'lng': -75.153797}"
104,First Student Inc,"13000 SW Hall Blvd, Tigard, OR 97223, USA","{'lat': 45.42534149999999, 'lng': -122.7653583}"
105,First Student Inc,"3347 S County Trail, East Greenwich, RI 02818, USA","{'lat': 41.6057888, 'lng': -71.49483959999999}"
106,Wolfington Body Co Inc,"30 Pottstown Pike, Exton, PA 19341, USA","{'lat': 40.0283042, 'lng': -75.6286154}"
107,Hoekstra Transportation,"3741 Roger B Chaffee Memorial Blvd SE, Grand Rapids, MI 49548, USA","{'lat': 42.8958318, 'lng': -85.65434859999999}"
108,Ocean State Transit,"307 Oliphant Ln UNIT 9, Middletown, RI 02842, USA","{'lat': 41.5366741, 'lng': -71.2792381}"
109,JOHNSON CITY TRANSPORTATION,"666 Reynolds Rd, Johnson City, NY 13790, USA","{'lat': 42.134542, 'lng': -75.9685159}"
110,Lenoir's Transport,"15 1st St, Salisbury, MA 01952, USA","{'lat': 42.81675389999999, 'lng': -70.8675744}"
111,Bbt Inc,"1731 Liberty St, Braintree, MA 02184, USA","{'lat': 42.169963, 'lng': -71.0034151}"
112,First Student,"14001 L St, Omaha, NE 68137, USA","{'lat': 41.2122722, 'lng': -96.1325978}"
113,First Student Inc,"115 Industrial Park Rd, Saco, ME 04072, USA","{'lat': 43.5400959, 'lng': -70.4380141}"
114,Grande Ronde Transportation Company,"73458 Bus Barn Ln, Pendleton, OR 97801, USA","{'lat': 45.6688342, 'lng': -118.718744}"
